
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
49,Chandler Catanzaro,ARI,23,,16,0,,,5,5,14,12,11,10,3,2,33,29,87.9%,27,27,100.0%,,,,,
50,Sam Koch,BAL,32,,16,0,,,,,,,,,,,,,,,,,60,2841,73,1,47.4
51,Kai Forbath,WAS,27,,16,0,,,11,11,7,6,8,7,1,,27,24,88.9%,32,31,96.9%,,,,,
52,Brandon Fields,MIA,30,,16,0,,,,,,,,,,,,,,,,,58,2688,60,1,46.3
53,Thomas Morstead,NOR,28,,16,0,,,,,,,,,,,,,,,,,58,2690,63,0,46.4
54,Billy Cundiff,CLE,34,,13,0,,,6,6,13,10,7,5,3,1,29,22,75.9%,28,28,100.0%,,,,,
55,Chris Jones,DAL,25,,16,0,,,,,,,,,,,,,,,,,57,2586,64,1,45.4
56,Patrick Murray,TAM,23,,16,0,,,3,2,8,7,7,6,6,5,24,20,83.3%,31,31,100.0%,,,,,
57,Mike Scifres,SDG,34,,13,0,,,,,,,,,,,,,,,,,55,2516,72,1,45.7
58,Brandon McManus,DEN,23,,15,0,,,5,5,3,2,3,2,2,,13,9,69.2%,41,41,100.0%,,,,,
59,Sebastian Janikowski,OAK,36,,16,0,,,2,2,5,5,10,9,5,3,22,19,86.4%,28,28,100.0%,,,,,
,,,,,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,Punting
Rk,,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
60,Tim Masthay,GNB,27,,16,0,,,,,,,,,,,,,,,,,49,2159,63,2,44.1
61,Josh Scobee,JAX,32,,16,0,,,3,3,8,7,9,7,6,3,26,20,76.9%,23,23,100.0%,,,,,
62,Ryan Succop,TEN,28,,16,0,,,5,5,7,7,8,5,2,2,22,19,86.4%,27,27,100.0%,,,,,
63,Matt Prater,2TM,30,,11,0,,,8,8,5,4,8,6,5,3,26,21,80.8%,21,21,100.0%,,,,,
64,Robbie Gould,CHI,32,,12,0,,,4,4,3,2,4,3,1,,12,9,75.0%,29,28,96.6%,,,,,
65,Connor Barth,DEN,28,,5,0,2,2,4,4,5,5,4,3,1,1,16,15,93.8%,15,15,100.0%,,,,,
66,Nate Freese,DET,24,,3,0,,,2,2,1,1,4,,,,7,3,42.9%,6,6,100.0%,,,,,
67,Mat McBriar,SDG,35,,3,0,,,,,,,,,,,,,,,,,13,610,58,0,46.9
68,Dave Zastudil,ARI,36,,2,0,,,,,,,,,,,,,,,,,11,487,53,0,44.3
69,Jay Feely,CHI,38,,4,0,,,1,1,1,1,2,1,,,4,3,75.0%,6,5,83.3%,,,,,
70,Alex Henery,DET,27,,2,0,,,,,,,2,,3,1,5,1,20.0%,5,5,100.0%,,,,,
71,Garrett Hartley,CLE,28,,2,0,,,,,2,2,1,1,,,3,3,100.0%,2,2,100.0%,,,,,
