
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
44,DeSean Jackson,WAS,28,15,13,0,0,0,0,0,4,7,1.75,0,95,56,1169,20.88,6,WR,154,32,17,44
45,Julius Thomas*,DEN,26,13,10,0,0,0,0,0,0,0,,0,62,43,489,11.37,12,TE,121,31,7,45
46,Frank Gore,SFO,31,16,16,0,0,0,0,0,255,1106,4.34,4,19,11,111,10.09,1,RB,148,28,16,46
47,Giovani Bernard,CIN,23,13,9,0,0,0,0,0,168,680,4.05,5,59,43,349,8.12,2,RB,145,26,17,47
48,Mike Wallace,MIA,28,16,16,0,1,0,0,0,4,16,4.00,0,115,67,862,12.87,10,WR,146,24,18,48
49,Delanie Walker,TEN,30,15,14,0,0,0,0,0,0,0,,0,106,63,890,14.13,4,TE,113,23,8,49
50,Torrey Smith,BAL,25,16,16,0,0,0,0,0,0,0,,0,92,49,767,15.65,11,WR,143,21,19,50
51,Travis Kelce,KAN,25,16,11,0,0,0,0,0,0,0,,0,87,67,862,12.87,5,TE,110,20,9,51
52,Steve Smith,BAL,35,16,16,0,0,0,0,0,0,0,,0,134,79,1065,13.48,6,WR,141,19,20,52
53,Matt Ryan*,ATL,29,16,16,415,628,4694,28,14,29,145,5.00,0,0,0,0,,0,QB,284,19,7,53
54,Chris Ivory,NYJ,26,16,10,0,0,0,0,0,198,821,4.15,6,27,18,123,6.83,1,RB,134,15,18,54
55,Anquan Boldin,SFO,34,16,16,0,1,0,0,0,1,4,4.00,0,130,83,1062,12.80,5,WR,137,15,22,55
56,Brandon LaFell,NWE,28,16,13,0,0,0,0,0,2,13,6.50,0,119,74,953,12.88,7,WR,137,15,21,56
57,A.J. Green*,CIN,26,13,13,0,0,0,0,0,2,2,1.00,0,117,69,1041,15.09,6,WR,136,15,23,57
58,Tom Brady*,NWE,37,16,16,373,582,4109,33,9,36,57,1.58,0,0,0,0,,0,QB,280,14,8,58
59,Jordan Matthews,PHI,22,16,10,0,0,0,0,0,0,0,,0,103,67,872,13.01,8,WR,135,14,24,59
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
60,Ryan Tannehill,MIA,26,16,16,392,590,4045,27,12,56,311,5.55,1,1,1,-4,-4.00,0,QB,279,13,9,60
61,Andre Ellington,ARI,25,12,12,0,0,0,0,0,201,660,3.28,3,64,46,395,8.59,2,RB,132,12,19,61
62,Sammy Watkins,BUF,21,16,16,0,0,0,0,0,2,8,4.00,0,128,65,982,15.11,6,WR,133,11,25,62
63,Julian Edelman,NWE,28,14,13,0,0,0,0,0,10,94,9.40,0,134,92,972,10.57,4,WR,133,11,26,63
64,Roddy White,ATL,33,14,14,0,0,0,0,0,0,0,,0,125,80,921,11.51,7,WR,132,11,27,64
