
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
279,A.J. Jenkins,KAN,25,,9,2,15,9,93,10.3,0,27,1.0,10.3,1
280,Jacoby Jones,BAL,30,,16,0,18,9,131,14.6,0,31,0.6,8.2,4
281,Erik Lorig,NOR,28,rb,10,6,10,9,27,3.0,1,14,0.9,2.7,1
282,Ryan Mathews,SDG,27,rb,8,7,10,9,69,7.7,0,16,1.1,8.6,1
283,Kevin Norwood,SEA,25,,9,2,10,9,102,11.3,0,31,1.0,11.3,0
284,Dane Sanzenbacher,CIN,26,,10,1,15,9,105,11.7,0,26,0.9,10.5,1
285,Rod Streater,OAK,26,,3,3,13,9,84,9.3,1,17,3.0,28.0,0
286,Ben Tate,2TM,26,,11,6,12,9,60,6.7,0,23,0.8,5.5,0
287,Anthony Dixon,BUF,27,,16,0,9,8,49,6.1,0,10,0.5,3.1,1
288,Cory Harkey,STL,24,RB,16,13,11,8,55,6.9,1,21,0.5,3.4,0
289,Santonio Holmes,CHI,30,,9,2,14,8,67,8.4,0,15,0.9,7.4,1
290,Josh Huff,PHI,23,,12,0,18,8,98,12.3,0,44,0.7,8.2,1
291,Robert Hughes,ARI,25,,16,4,12,8,140,17.5,0,49,0.5,8.8,0
292,Tony Moeaki,SEA,27,,6,2,13,8,134,16.8,1,63,1.3,22.3,0
293,David Nelson,NYJ,28,wr,6,5,16,8,65,8.1,0,17,1.3,10.8,2
294,Silas Redd,WAS,22,,15,0,10,8,107,13.4,0,37,0.5,7.1,1
295,Khiry Robinson,NOR,25,,10,3,11,8,63,7.9,0,17,0.8,6.3,2
296,Greg Salas,NYJ,26,,10,2,23,8,167,20.9,0,51,0.8,16.7,0
297,Lorenzo Taliaferro,BAL,23,,13,0,10,8,114,14.3,0,29,0.6,8.8,1
298,Adam Thielen,MIN,24,,16,2,13,8,137,17.1,1,44,0.5,8.6,0
299,Mike Williams,BUF,27,,9,0,19,8,142,17.8,1,80,0.9,15.8,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
300,Dri Archer,PIT,23,,12,0,10,7,23,3.3,0,15,0.6,1.9,0
301,Mike Brown,JAX,25,,5,1,15,7,88,12.6,0,17,1.4,17.6,1
302,Rex Burkhead,CIN,24,,9,0,10,7,49,7.0,0,15,0.8,5.4,0
303,Michael Campanaro,BAL,23,,4,0,9,7,102,14.6,1,19,1.8,25.5,0
304,Chris Gragg,BUF,24,te,10,5,10,7,48,6.9,1,14,0.7,4.8,0
305,Ryan Grant,WAS,24,,16,2,15,7,68,9.7,0,21,0.4,4.3,0
306,Marion Grice,ARI,23,,10,0,11,7,29,4.1,0,15,0.7,2.9,0
307,Dwayne Harris,DAL,27,,16,0,12,7,116,16.6,0,56,0.4,7.3,4
308,Robert Meachem,NOR,30,,11,2,20,7,114,16.3,0,25,0.6,10.4,0
309,Lee Smith,BUF,27,TE,14,10,8,7,42,6.0,1,18,0.5,3.0,0
310,Luke Stocker,TAM,26,rb,13,7,11,7,41,5.9,0,11,0.5,3.2,0
311,Will Ta'ufo'ou,JAX,28,,16,4,8,7,81,11.6,0,26,0.4,5.1,0
312,Chase Coffman,TEN,28,,13,3,14,6,64,10.7,1,18,0.5,4.9,0
313,James Develin,NWE,26,,16,4,8,6,43,7.2,0,13,0.4,2.7,1
314,Kris Durham,TEN,26,,4,0,11,6,54,9.0,0,14,1.5,13.5,0
315,Bruce Ellington,SFO,23,,13,0,12,6,62,10.3,2,20,0.5,4.8,1
316,Joseph Fauria,DET,24,,7,0,12,6,74,12.3,1,26,0.9,10.6,0
317,Virgil Green,DEN,26,TE,13,9,6,6,74,12.3,1,38,0.5,5.7,0
318,Jonathan Grimes,HOU,25,,16,0,8,6,86,14.3,0,31,0.4,5.4,0
319,Robert Herron,TAM,22,,8,0,12,6,58,9.7,1,16,0.8,7.3,0
320,Jerrel Jernigan,NYG,25,,2,1,9,6,40,6.7,0,11,3.0,20.0,0
321,Will Johnson,PIT,25,rb,16,5,9,6,41,6.8,0,18,0.4,2.6,0
322,Brian Leonhardt,OAK,24,,12,3,8,6,35,5.8,1,12,0.5,2.9,0
323,Greg Little,CIN,25,,6,1,12,6,69,11.5,0,21,1.0,11.5,0
324,Keshawn Martin,HOU,24,,16,0,12,6,78,13.0,0,32,0.4,4.9,0
325,Joe McKnight,KAN,26,,2,0,7,6,64,10.7,2,26,3.0,32.0,0
326,Zach Miller,SEA,29,,3,3,7,6,76,12.7,0,24,2.0,25.3,0
327,Chris Owusu,2TM,24,,8,0,,6,78,13.0,1,36,0.8,9.8,0
328,Ace Sanders,JAX,23,,12,0,7,6,55,9.2,0,24,0.5,4.6,2
329,Chris Thompson,WAS,24,,2,0,7,6,27,4.5,1,9,3.0,13.5,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
330,Zurlon Tipton,IND,24,,6,0,6,6,68,11.3,1,32,1.0,11.3,0
331,Bryan Walters,SEA,27,,13,0,11,6,57,9.5,0,17,0.5,4.4,0
332,Jackie Battle,TEN,31,,16,1,5,5,28,5.6,0,12,0.3,1.8,0
333,Kevin Brock,CIN,28,,14,2,6,5,21,4.2,0,10,0.4,1.5,0
334,Ronnie Brown,2TM,33,,10,0,8,5,44,8.8,0,24,0.5,4.4,0
335,Andre Caldwell,DEN,29,,16,2,15,5,47,9.4,0,15,0.3,2.9,0
336,Ka'Deem Carey,CHI,22,,14,0,6,5,57,11.4,0,18,0.4,4.1,0
337,Jed Collins,DET,28,,16,2,6,5,39,7.8,1,24,0.3,2.4,0
338,Orleans Darkwa,2TM,22,,11,0,,5,48,9.6,0,17,0.5,4.4,0
339,Darren Fells,ARI,28,te,10,5,12,5,71,14.2,0,24,0.5,7.1,0
340,Jeff Maehl,PHI,25,,8,0,5,5,46,9.2,0,15,0.6,5.8,0
341,Kevin Ogletree,NYG,27,,7,0,9,5,50,10.0,0,15,0.7,7.1,0
342,Jamize Olawale,OAK,25,,16,0,6,5,18,3.6,2,7,0.3,1.1,0
343,Darrin Reaves,CAR,21,,6,1,8,5,31,6.2,0,16,0.8,5.2,0
344,Adrien Robinson,NYG,25,,16,1,7,5,50,10.0,1,29,0.3,3.1,0
345,Zach Sudfeld,NYJ,25,,16,3,7,5,85,17.0,0,38,0.3,5.3,0
346,Frank Summers,BUF,29,rb,10,6,8,5,9,1.8,0,4,0.5,0.9,0
347,Brian Tyms,NWE,25,,11,2,11,5,82,16.4,1,43,0.5,7.5,0
348,Corey Washington,NYG,23,,14,0,8,5,52,10.4,1,20,0.4,3.7,0
349,James White,NWE,23,,3,0,5,5,23,4.6,0,11,1.7,7.7,0
350,Fozzy Whittaker,CAR,25,,10,1,6,5,60,12.0,1,26,0.5,6.0,0
351,DeAngelo Williams,CAR,31,rb,6,6,6,5,44,8.8,0,30,0.8,7.3,1
352,Danny Woodhead,SDG,29,,3,0,6,5,34,6.8,0,14,1.7,11.3,0
353,James Wright,CIN,23,,11,0,16,5,91,18.2,0,30,0.5,8.3,0
354,Seyi Ajirotutu,SDG,27,,16,1,12,4,45,11.3,0,17,0.3,2.8,0
355,C.J. Fiedorowicz,HOU,23,TE,15,8,7,4,28,7.0,1,9,0.3,1.9,0
356,Frankie Hammond,KAN,24,,16,3,11,4,45,11.3,0,22,0.3,2.8,0
357,James Hanna,DAL,25,TE,16,12,6,4,48,12.0,0,27,0.3,3.0,0
358,John Kuhn*+,GNB,32,,16,2,4,4,23,5.8,0,9,0.3,1.4,0
359,Joe Morgan,NOR,26,,5,2,10,4,92,23.0,0,62,0.8,18.4,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
360,Joseph Randle,DAL,23,,16,0,5,4,23,5.8,0,14,0.3,1.4,2
361,Stevan Ridley,NWE,25,rb,6,5,5,4,20,5.0,0,7,0.7,3.3,0
362,Russell Shepard,TAM,24,,16,0,8,4,63,15.8,0,23,0.3,3.9,0
363,Juwan Thompson,DEN,22,,15,0,7,4,25,6.3,0,14,0.3,1.7,1
364,Brandon Williams,CAR,27,,14,0,8,4,44,11.0,0,16,0.3,3.1,0
365,Ray Agnew,CLE,23,RB,12,9,9,3,15,5.0,0,12,0.3,1.3,0
366,Jarrett Boykin,GNB,25,,13,3,12,3,23,7.7,0,11,0.2,1.8,0
367,James Casey,PHI,30,,16,2,3,3,59,19.7,2,26,0.2,3.7,0
368,Aaron Dobson,NWE,23,,4,1,5,3,38,12.7,0,16,0.8,9.5,0
369,Tyler Eifert,CIN,24,,1,1,3,3,37,12.3,0,20,3.0,37.0,0
370,T.J. Graham,NYJ,25,,12,0,8,3,87,29.0,1,67,0.3,7.3,0
371,Demetrius Harris,KAN,23,,8,3,5,3,20,6.7,0,10,0.4,2.5,0
372,Darrius Heyward-Bey,PIT,27,,16,1,5,3,33,11.0,0,17,0.2,2.1,1
373,Michael Hoomanawanui,NWE,26,TE,16,12,6,3,44,14.7,0,23,0.2,2.8,0
374,Gator Hoskins,2TM,23,,15,0,,3,21,7.0,0,14,0.2,1.4,0
375,Troy Niklas,ARI,22,,7,2,3,3,38,12.7,0,17,0.4,5.4,0
376,Quinton Patton,SFO,24,,4,0,8,3,44,14.7,0,35,0.8,11.0,1
377,Cedric Peerman,CIN,28,,16,0,5,3,27,9.0,0,17,0.2,1.7,1
378,Alfonso Smith,SFO,27,,6,0,4,3,11,3.7,0,5,0.5,1.8,0
379,Matt Spaeth,PIT,31,TE,15,8,4,3,46,15.3,1,33,0.2,3.1,0
380,Phillip Supernaw,2TM,24,,8,1,3,3,30,10.0,0,29,0.4,3.8,0
381,Fitzgerald Toussaint,BAL,24,,4,0,6,3,27,9.0,0,15,0.8,6.8,0
382,J.J. Watt*+,HOU,25,LDE,16,16,3,3,4,1.3,3,2,0.2,0.3,0
383,Trey Watts,STL,23,,14,0,4,3,18,6.0,0,11,0.2,1.3,0
384,Antonio Andrews,TEN,23,,4,0,2,2,11,5.5,0,6,0.5,2.8,0
385,David Ausberry,OAK,27,,6,0,4,2,14,7.0,0,7,0.3,2.3,0
386,Tommy Bohanon,NYJ,24,,4,2,2,2,30,15.0,0,16,0.5,7.5,0
387,Brandon Bolden,NWE,24,,16,2,6,2,8,4.0,0,4,0.1,0.5,0
388,Brandon Bostick,GNB,25,,13,0,4,2,3,1.5,1,2,0.2,0.2,0
389,Ryan Broyles,DET,26,,5,0,5,2,25,12.5,0,21,0.4,5.0,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
390,Garrett Celek,SFO,26,,3,1,2,2,53,26.5,0,31,0.7,17.7,0
391,Derrick Coleman,SEA,24,,5,1,2,2,29,14.5,1,15,0.4,5.8,0
392,John Conner,NYJ,27,,12,3,3,2,35,17.5,1,26,0.2,2.9,0
393,Michael Cox,NYG,26,,4,0,3,2,9,4.5,0,9,0.5,2.3,0
394,Jonathan Dwyer,ARI,25,,2,0,3,2,8,4.0,0,5,1.0,4.0,0
395,Gabe Jackson,OAK,23,LG,13,12,2,2,-5,-2.5,0,1,0.2,-0.4,0
396,Nic Jacobs,JAX,23,,13,4,3,2,16,8.0,1,14,0.2,1.2,0
397,Jeff Janis,GNB,23,,3,0,2,2,16,8.0,0,9,0.7,5.3,0
398,Austin Johnson,NOR,25,,7,1,2,2,15,7.5,1,13,0.3,2.1,0
399,Tavarres King,2TM,24,,2,0,,2,13,6.5,0,7,1.0,6.5,0
400,Cody Latimer,DEN,22,,8,0,4,2,23,11.5,0,14,0.3,2.9,0
401,Vance McDonald,SFO,24,,8,4,8,2,30,15.0,0,21,0.3,3.8,1
402,Bear Pascoe,ATL,28,,16,2,2,2,3,1.5,1,2,0.1,0.2,0
403,Adrian Peterson,MIN,29,,1,1,3,2,18,9.0,0,9,2.0,18.0,0
404,Bernard Pierce,BAL,24,,13,2,6,2,13,6.5,0,7,0.2,1.0,1
405,Chris Polk,PHI,25,,14,0,3,2,16,8.0,0,15,0.1,1.1,1
406,Craig Stevens,TEN,30,,5,4,2,2,26,13.0,0,20,0.4,5.2,0
407,Devin Street,DAL,23,,16,0,7,2,18,9.0,0,9,0.1,1.1,0
408,Taylor Thompson,TEN,25,,3,1,4,2,24,12.0,0,13,0.7,8.0,0
409,Griff Whalen,IND,24,,10,0,3,2,23,11.5,0,18,0.2,2.3,2
410,Kerwynn Williams,ARI,23,,5,0,6,2,11,5.5,0,6,0.4,2.2,1
411,Isa Abdul-Quddus,DET,25,,16,4,1,1,3,3.0,0,3,0.1,0.2,0
412,Khalif Barnes,OAK,32,RT/LG,14,13,1,1,1,1.0,0,1,0.1,0.1,1
413,Antwon Blake,PIT,24,,16,1,1,1,25,25.0,0,25,0.1,1.6,0
414,Cameron Brate,TAM,23,,5,1,1,1,17,17.0,0,17,0.2,3.4,0
415,Drew Brees*,NOR,35,QB,16,16,1,1,1,1.0,0,1,0.1,0.1,7
416,Anthony Castonzo,IND,26,LT,16,16,1,1,1,1.0,1,1,0.1,0.1,0
417,Tyler Clutts,DAL,30,,16,1,1,1,1,1.0,0,1,0.1,0.1,0
418,Josh Cribbs,IND,31,,6,0,1,1,8,8.0,0,8,0.2,1.3,3
419,Andy Dalton*,CIN,27,QB,16,16,1,1,18,18.0,1,18,0.1,1.1,4
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
420,Kevin Dorsey,GNB,24,,3,0,2,1,4,4.0,0,4,0.3,1.3,0
421,Marquise Goodwin,BUF,24,,10,0,9,1,42,42.0,0,42,0.1,4.2,1
422,Jonas Gray,NWE,24,,8,3,3,1,7,7.0,0,7,0.1,0.9,0
423,Shonn Greene,TEN,29,rb,13,5,3,1,13,13.0,0,13,0.1,1.0,1
424,DuJuan Harris,GNB,26,,15,0,2,1,11,11.0,0,11,0.1,0.7,0
425,Shaun Hill,STL,34,QB,9,8,1,1,0,0.0,0,0,0.1,0.0,7
426,Mike James,TAM,25,,11,0,1,1,-5,-5.0,0,-5,0.1,-0.5,0
427,Marcel Jensen,JAX,24,,1,0,1,1,8,8.0,0,8,1.0,8.0,0
428,David Johnson,SDG,27,,2,2,,1,4,4.0,0,4,0.5,2.0,0
429,Storm Johnson,JAX,22,,6,1,1,1,-4,-4.0,0,-4,0.2,-0.7,0
430,Karl Klug,TEN,26,,16,0,1,1,9,9.0,0,9,0.1,0.6,0
431,Jorvorskie Lane,TAM,27,,9,4,1,1,3,3.0,0,3,0.1,0.3,0
432,Brian Leonard,NOR,30,,1,0,1,1,15,15.0,0,15,1.0,15.0,0
433,Christine Michael,SEA,24,,10,0,2,1,12,12.0,0,12,0.1,1.2,1
434,Knowshon Moreno,MIA,27,,3,0,1,1,8,8.0,0,8,0.3,2.7,0
435,Michael Palmer,PIT,26,,15,1,2,1,1,1.0,1,1,0.1,0.1,0
436,Donald Penn,OAK,31,LT,16,16,1,1,3,3.0,1,3,0.1,0.2,0
437,Senorise Perry,CHI,23,,16,0,1,1,-1,-1.0,0,-1,0.1,-0.1,0
438,John Phillips,SDG,27,,16,1,1,1,1,1.0,1,1,0.1,0.1,0
439,DeVier Posey,HOU,25,,1,1,1,1,30,30.0,0,30,1.0,30.0,0
440,Maurkice Pouncey*+,PIT,25,C,16,16,1,1,0,0.0,0,0,0.1,0.0,0
441,Jay Prosch,HOU,22,rb,16,5,4,1,24,24.0,0,24,0.1,1.5,0
442,Aldrick Robinson,2TM,26,,2,2,,1,6,6.0,0,6,0.5,3.0,0
443,Courtney Roby,ATL,31,,4,0,2,1,11,11.0,0,11,0.3,2.8,0
444,Jalen Saunders,4TM,22,,15,0,,1,7,7.0,0,7,0.1,0.5,2
445,Brian Schwenke,TEN,23,C,11,11,1,1,6,6.0,0,6,0.1,0.5,1
446,Brad Smith,PHI,31,,13,0,3,1,11,11.0,0,11,0.1,0.8,0
447,Micheal Spurlock,CHI,31,,1,0,3,1,8,8.0,0,8,1.0,8.0,0
448,Ryan Tannehill,MIA,26,QB,16,16,1,1,-4,-4.0,0,0,0.1,-0.3,10
449,Will Tukuafu,SEA,30,,9,2,2,1,4,4.0,0,4,0.1,0.4,0
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
450,Joe Webb,CAR,28,,7,0,3,1,16,16.0,0,16,0.1,2.3,0
451,Damian Williams,2TM,26,,3,0,,1,14,14.0,0,14,0.3,4.7,0
452,Russell Wilson,SEA,26,QB,16,16,1,1,17,17.0,0,17,0.1,1.1,13
