
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
63,DeMarco Murray*+,DAL,26,RB,16,16,64,57,416,7.3,0,34,3.6,26.0,6
64,Kendall Wright,TEN,25,WR,14,11,93,57,715,12.5,6,48,4.1,51.1,1
65,DeSean Jackson,WAS,28,WR,15,13,95,56,1169,20.9,6,81,3.7,77.9,0
66,Mohamed Sanu,CIN,25,WR,16,13,98,56,790,14.1,5,76,3.5,49.4,0
67,Riley Cooper,PHI,27,WR,16,16,95,55,577,10.5,3,50,3.4,36.1,1
68,Brandin Cooks,NOR,21,wr,10,7,69,53,550,10.4,3,50,5.3,55.0,1
69,Cecil Shorts,JAX,27,WR,13,12,110,53,557,10.5,1,53,4.1,42.8,1
70,Markus Wheaton,PIT,23,WR,16,11,86,53,644,12.2,2,47,3.3,40.3,0
71,Jared Cook,STL,27,te,16,6,99,52,634,12.2,3,59,3.3,39.6,0
72,Malcom Floyd,SDG,33,WR,16,16,92,52,856,16.5,6,59,3.3,53.5,0
73,Shane Vereen,NWE,25,rb,16,6,77,52,447,8.6,3,49,3.3,27.9,0
74,Harry Douglas,ATL,30,wr,12,6,74,51,556,10.9,2,41,4.3,46.3,0
75,Coby Fleener,IND,26,TE,16,12,92,51,774,15.2,8,73,3.2,48.4,0
76,Percy Harvin,2TM,26,,13,12,78,51,483,9.5,1,45,3.9,37.2,3
77,Allen Hurns,JAX,23,WR,16,8,97,51,677,13.3,6,63,3.2,42.3,0
78,Jordan Reed,WAS,24,,11,2,65,50,465,9.3,0,30,4.5,42.3,1
79,Torrey Smith,BAL,25,WR,16,16,92,49,767,15.7,11,53,3.1,47.9,0
80,Wes Welker,DEN,33,WR,14,8,64,49,464,9.5,2,39,3.5,33.1,0
81,Kenny Britt,STL,26,WR,16,13,84,48,748,15.6,3,63,3.0,46.8,0
82,John Brown,ARI,24,wr,16,5,102,48,696,14.5,5,75,3.0,43.5,0
