
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
56,Cliff Avril,SEA,28,RDE,16,16,0,0,0,0,2,1,0,1,0,0,5.0,20,10,
57,Akeem Ayers,2TM,25,,11,4,1,0,0,0,1,,,,,,4.0,18,7,
58,Robert Ayers,NYG,29,,12,1,0,0,0,0,1,1,0,0,0,0,5.0,18,4,
59,Jason Babin,NYJ,34,,16,4,,,,,,,,,,,2.0,15,11,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Jonathan Babineaux,ATL,33,RDE,15,15,,,,,,,,,,,2.0,15,16,
61,Johnson Bademosi,CLE,24,,14,0,,,,,,,,,,,,5,7,
62,Allen Bailey,KAN,25,RDE,14,14,0,0,0,0,2,,,,,,5.0,27,14,
63,Alvin Bailey,SEA,23,lg,14,5,,,,,,0,0,1,0,0,,,,
64,Dan Bailey,DAL,26,,16,0,,,,,,,,,,,,2,0,
65,Stedman Bailey,STL,24,,14,3,,,,,,1,0,0,0,0,,3,0,
66,Brandon Bair,PHI,30,,16,0,0,0,0,0,1,,,,,,1.5,14,3,
67,Chris Baker,WAS,27,NT,15,12,,,,,,,,,,,1.0,25,15,
68,Sean Baker,ATL,26,,1,1,,,,,,,,,,,,1,1,
69,David Bakhtiari,GNB,23,LT,16,16,,,,,,,,,,,,1,0,
70,Doug Baldwin,SEA,26,WR,16,16,,,,,,0,1,0,0,0,,2,0,
71,Alan Ball,JAX,29,rcb,7,7,1,0,0,0,3,,,,,,,18,4,
72,Marcus Ball,NOR,27,,12,2,,,,,,0,0,1,0,0,,12,4,
73,Chris Banjo,GNB,24,,3,0,,,,,,,,,,,,2,1,
74,Johnthan Banks,TAM,25,RCB,15,14,4,69,1,32,10,,,,,,,41,9,
75,Joe Banyard,MIN,26,,15,0,,,,,,,,,,,,2,0,
76,Allen Barbre,PHI,30,,1,1,,,,,,,,,,,,1,0,
77,Joe Barksdale,STL,26,RT,16,16,,,,,,,,,,,,1,0,
78,Antwan Barnes,NYJ,30,,5,0,,,,,,,,,,,,5,1,
79,Khalif Barnes,OAK,32,RT/LG,14,13,,,,,,0,1,0,0,0,,2,0,
80,T.J. Barnes,NYJ,24,,6,0,,,,,,,,,,,,1,0,
81,Gary Barnidge,CLE,29,,13,2,,,,,,,,,,,,1,1,
82,Anthony Barr,MIN,22,RLB,12,12,0,0,0,0,3,2,0,3,27,1,4.0,55,15,
83,Sam Barrington,GNB,24,lilb,14,7,0,0,0,0,2,,,,,,1.0,45,21,
84,Mark Barron,2TM,25,,16,9,0,0,0,0,4,0,1,1,8,0,3.0,56,16,
85,Lamin Barrow,DEN,24,,16,1,,,,,,,,,,,,6,3,
86,Joplo Bartu,ATL,24,MLB,16,14,,,,,,0,0,2,0,0,1.0,47,36,
87,Connor Barwin*,PHI,28,LOLB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,47,17,
88,David Bass,CHI,24,,8,1,,,,,,1,0,0,0,0,3.0,6,4,
89,Daren Bates,STL,24,,14,0,,,,,,,,,,,,9,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Jackie Battle,TEN,31,,16,1,,,,,,,,,,,,4,1,
91,Alex Bayer,STL,24,,6,0,,,,,,0,0,1,0,0,,,,
92,Kelvin Beachum,PIT,25,LT,16,16,,,,,,,,,,,,1,0,
93,Zane Beadles,JAX,28,LG,16,16,,,,,,,,,,,,1,0,
94,Cole Beasley,DAL,25,,16,2,,,,,,0,2,1,0,0,,,,
95,Jon Beason,NYG,29,,4,4,0,0,0,0,1,,,,,,,6,5,
96,Will Beatty,NYG,29,LT,16,16,,,,,,,,,,,,4,0,
97,Steve Beauharnais,WAS,24,,3,0,,,,,,,,,,,,2,2,
98,Odell Beckham*,NYG,22,WR,12,11,,,,,,0,1,0,0,0,,3,0,
99,Byron Bell,CAR,25,LT,15,15,,,,,,0,0,1,0,0,,1,0,
100,Joique Bell,DET,28,rb,15,6,,,,,,0,5,4,0,0,,2,0,
101,Le'Veon Bell*+,PIT,22,RB,16,16,,,,,,,,,,,,3,0,
102,Nick Bellore,NYJ,25,,16,0,,,,,,,,,,,,11,4,
103,Marcus Benard,ARI,29,,12,0,,,,,,,,,,,1.0,8,2,
104,Kelvin Benjamin,CAR,23,WR,16,15,,,,,,0,1,0,0,0,,2,0,
105,Travis Benjamin,CLE,25,,16,0,,,,,,1,2,2,0,0,,1,0,
106,Martellus Bennett*,CHI,27,TE,16,15,,,,,,,,,,,,1,0,
107,Michael Bennett,SEA,29,LDE,16,16,,,,,,1,0,0,0,0,7.0,31,16,
108,Bene Benwikere,CAR,23,lcb,10,6,1,0,0,0,8,1,0,2,6,0,,26,9,
109,Joe Berger,MIN,32,RG,16,9,,,,,,,,,,,,1,0,
110,Nat Berhe,NYG,23,,16,0,,,,,,0,0,1,0,0,,11,4,
111,Giovani Bernard,CIN,23,RB,13,9,,,,,,1,0,0,0,0,,2,0,
112,Eric Berry,KAN,26,ss,6,5,0,0,0,0,2,,,,,,,32,5,
113,Brenton Bersin,CAR,24,,15,1,,,,,,0,3,1,0,0,,1,0,
114,Antoine Bethea*,SFO,30,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,71,14,
115,Justin Bethel*,ARI,24,,16,0,,,,,,1,0,2,0,0,,22,4,
116,Kroy Biermann,ATL,29,RLB/L,16,15,0,0,0,0,3,1,0,0,0,0,4.5,43,34,
117,E.J. Biggers,WAS,27,,15,2,0,0,0,0,4,,,,,,,27,5,
118,Christo Bilukidi,BAL,25,,4,0,,,,,,,,,,,,0,3,
119,Desmond Bishop,2TM,30,,2,0,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Ken Bishop,DAL,24,,3,0,,,,,,,,,,,,4,3,
121,Joel Bitonio,CLE,23,LG,16,16,,,,,,,,,,,,2,0,
