
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
266,Gosder Cherilus,IND,30,RT,13,13,,,,,,,,,,,,1,0,
267,Chris Chester,WAS,31,RG,16,16,,,,,,0,0,1,0,0,,,,
268,Patrick Chung,NWE,27,SS,16,15,1,10,0,10,7,,,,,,,62,33,
269,Barry Church,DAL,26,SS,16,16,2,49,0,45,6,2,0,1,-1,0,,87,22,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Ryan Clady*,DEN,28,LT,16,16,,,,,,0,0,1,-2,0,,1,0,
271,Morris Claiborne,DAL,24,,4,3,1,-8,0,-8,2,,,,,,,5,2,
272,Ryan Clark,WAS,35,FS,16,15,1,8,0,8,3,0,1,2,0,0,0.5,68,33,
273,Will Clarke,CIN,23,,7,0,,,,,,0,0,1,0,0,,2,1,
274,Charles Clay,MIA,25,TE,14,14,,,,,,0,0,2,0,0,,,,
275,Adrian Clayborn,TAM,26,,1,1,,,,,,,,,,,,1,0,
276,Chris Clemons,JAX,33,RDE,16,16,0,0,0,0,3,4,0,1,0,0,8.0,27,9,
277,Ha Ha Clinton-Dix,GNB,22,FF,16,10,1,9,0,9,9,0,0,1,0,0,1.0,74,31,
278,Jadeveon Clowney,HOU,21,,4,2,,,,,,,,,,,,5,2,
279,Tyler Clutts,DAL,30,,16,1,,,,,,,,,,,,1,0,
280,Randall Cobb*,GNB,24,WR,16,16,,,,,,0,4,1,0,0,,1,0,
281,Ross Cockrell,BUF,23,,7,0,,,,,,,,,,,,1,0,
282,Barry Cofield,WAS,30,,8,3,,,,,,,,,,,1.0,5,2,
283,Audie Cole,MIN,25,,16,1,0,0,0,0,1,,,,,,,22,4,
284,Colin Cole,CAR,34,LDT/R,16,10,,,,,,0,0,1,0,0,,13,19,
285,Trent Cole,PHI,32,ROLB,15,15,,,,,,3,0,0,0,0,6.5,40,12,
286,Davon Coleman,DAL,23,,2,1,,,,,,,,,,,,3,0,
287,Derrick Coleman,SEA,24,,5,1,,,,,,,,,,,,0,1,
288,Kurt Coleman,KAN,26,,15,3,3,12,0,12,6,1,0,1,0,0,,34,3,
289,Daryn Colledge,MIA,32,LG,13,13,,,,,,,,,,,,2,0,
290,Jamie Collins,NWE,24,LLB,15,15,2,0,0,0,6,4,1,2,3,0,4.0,91,47,
291,Jed Collins,DET,28,,16,2,,,,,,0,0,1,0,0,,6,0,
292,Willie Colon,NYJ,31,RG,16,16,,,,,,,,,,,,2,0,
293,Britton Colquitt,DEN,29,,16,0,,,,,,0,1,1,0,0,,0,1,
294,Dustin Colquitt,KAN,32,,16,0,,,,,,,,,,,,1,0,
295,Marques Colston,NOR,31,WR,16,13,,,,,,0,1,0,0,0,,2,0,
296,Aaron Colvin,JAX,23,,6,1,0,0,0,0,2,0,0,1,41,1,,23,4,
297,Tom Compton,WAS,25,RT,16,9,,,,,,,,,,,,3,2,
298,William Compton,WAS,25,lilb,16,5,,,,,,,,,,,,37,19,
299,Jon Condo,OAK,33,,16,0,,,,,,0,0,1,0,0,,0,3,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
300,Kavell Conner,SDG,27,lilb,16,7,0,0,0,0,1,1,0,0,0,0,1.0,46,24,
301,Daniel Connolly,NWE,32,LG,13,13,,,,,,0,0,1,0,0,,0,1,
302,Chris Conte,CHI,25,FS,12,12,3,6,0,5,3,,,,,,,32,11,
303,Chris Cook,SFO,27,,6,0,0,0,0,0,1,,,,,,,6,0,
304,Jared Cook,STL,27,te,16,6,,,,,,,,,,,,1,0,
305,Brandin Cooks,NOR,21,wr,10,7,,,,,,0,1,0,0,0,,2,0,
306,Marcus Cooper,KAN,24,lcb,13,4,0,0,0,0,3,0,1,0,0,0,,21,0,
307,Riley Cooper,PHI,27,WR,16,16,,,,,,0,1,0,0,0,,4,0,
308,Quinton Coples,NYJ,24,LOLB,16,15,,,,,,1,0,0,0,0,6.5,25,10,
309,Jerricho Cotchery,CAR,32,WR,15,13,,,,,,,,,,,,2,0,
310,Jerome Couplin,3TM,23,,10,0,,,,,,,,,,,,2,0,
311,Oniel Cousins,TAM,30,,16,7,,,,,,0,0,1,0,0,,1,0,
312,Fletcher Cox,PHI,24,LDE,16,16,,,,,,1,0,3,21,1,4.0,48,13,
313,Perrish Cox,SFO,27,LCB,15,14,5,12,0,10,18,0,1,2,0,0,,49,4,
314,Brock Coyle,SEA,24,,15,2,,,,,,,,,,,,9,4,
315,Jack Crawford,DAL,26,,6,0,,,,,,1,0,0,0,0,2.0,6,2,
316,Tyrone Crawford,DAL,25,RDT,15,15,0,0,0,0,2,1,0,0,0,0,3.0,25,10,
317,Josh Cribbs,IND,31,,6,0,,,,,,0,3,0,0,0,,3,1,
318,Scott Crichton,MIN,23,,8,0,,,,,,,,,,,,2,0,
319,Jared Crick,HOU,25,RLB,16,15,0,0,0,0,6,,,,,,3.5,29,27,
320,Antonio Cromartie*,ARI,30,RCB,16,16,3,65,0,40,12,0,0,1,14,1,,46,6,
321,Marcus Cromartie,SFO,24,,3,0,0,0,0,0,1,,,,,,,4,0,
322,Mason Crosby,GNB,30,,16,0,,,,,,,,,,,,2,0,
323,Isaiah Crowell,CLE,21,,16,4,,,,,,0,3,2,0,0,,,,
324,Chris Culliver,SFO,26,RCB,14,14,4,61,0,29,15,1,0,1,35,1,,38,7,
325,Jeff Cumberland,NYJ,27,TE,16,14,,,,,,0,0,1,0,0,,1,0,
326,Benny Cunningham,STL,24,,16,2,,,,,,0,2,1,0,0,,4,0,
327,Vinny Curry,PHI,26,,16,0,,,,,,4,0,1,0,0,9.0,17,2,
328,Brian Cushing,HOU,27,LILB,14,14,0,0,0,0,2,1,0,0,0,0,1.0,41,31,
329,Jay Cutler,CHI,31,QB,15,15,,,,,,0,12,4,-29,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
330,Jonathan Cyprien,JAX,24,SS,15,15,0,0,0,0,3,,,,,,,80,34,
331,Craig Dahl,SFO,29,,16,1,1,0,0,0,2,,,,,,,19,4,
332,Andy Dalton*,CIN,27,QB,16,16,,,,,,0,4,1,-5,0,,2,0,
333,Mike Daniels,GNB,25,RDE,16,16,,,,,,,,,,,5.5,30,17,
334,Owen Daniels,BAL,32,TE,15,13,,,,,,,,,,,,2,0,
335,Karlos Dansby,CLE,33,LILB,12,12,1,0,0,0,2,,,,,,3.0,47,46,
336,Marcell Dareus*+,BUF,25,RDT,15,15,0,0,0,0,1,1,0,0,0,0,10.0,35,14,
337,Orleans Darkwa,2TM,22,,11,0,,,,,,1,0,0,0,0,,4,3,
338,Lavonte David,TAM,24,RLB,14,14,0,0,0,0,3,4,0,1,0,0,1.0,101,44,
339,Akeem Davis,WAS,24,,13,0,,,,,,,,,,,,6,5,
340,Anthony Davis,SFO,25,rt,7,7,,,,,,,,,,,,1,0,
341,Austin Davis,STL,25,QB,10,8,,,,,,0,5,2,-6,0,,,,
342,Chris Davis,SDG,23,,12,1,0,0,0,0,1,1,0,0,0,0,,13,2,
343,Cody Davis,STL,25,,15,0,,,,,,0,0,1,1,0,,6,3,
344,Demario Davis,NYJ,25,LILB,16,16,0,0,0,0,5,0,0,2,0,0,3.5,78,38,
345,Drew Davis,ATL,25,,6,0,,,,,,,,,,,,2,0,
346,Ja'Gared Davis,3TM,24,,7,0,,,,,,,,,,,,3,2,
347,Kellen Davis,DET,29,,6,0,,,,,,,,,,,,1,0,
348,Knile Davis,KAN,23,,16,1,,,,,,0,4,1,0,0,,,,
349,Ryan Davis,JAX,25,,16,0,0,0,0,0,2,2,0,2,0,0,6.5,14,5,
350,Thomas Davis,CAR,31,RLB,15,15,0,0,0,0,3,2,0,1,33,0,2.5,77,40,
351,Todd Davis,2TM,22,,9,2,0,0,0,0,2,,,,,,,17,11,
352,Vernon Davis,SFO,30,TE,14,14,,,,,,,,,,,,2,0,
353,Vontae Davis*,IND,26,RCB,15,15,4,72,0,42,27,2,0,1,-9,0,,50,8,
354,Will Davis,MIA,24,,10,0,0,0,0,0,3,,,,,,,16,1,
355,Phil Dawson,SFO,39,,16,0,,,,,,,,,,,,1,0,
356,Brandon Deaderick,NOR,27,,13,2,,,,,,,,,,,,4,4,
357,Larry Dean,BUF,26,,13,0,,,,,,,,,,,,8,2,
358,David DeCastro,PIT,24,RG,16,16,,,,,,,,,,,,1,0,
359,Eric Decker,NYJ,27,WR,15,15,,,,,,,,,,,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
360,Thomas DeCoud,CAR,29,FS,15,11,1,35,0,35,3,,,,,,,34,16,
361,Louis Delmas,MIA,27,SS,13,12,1,81,1,81,3,0,0,2,0,0,1.0,49,11,
362,Kenny Demens,ARI,24,,14,0,,,,,,1,0,0,0,0,,9,0,
363,Quintin Demps,NYG,29,FS,16,9,4,19,0,10,7,1,2,0,0,0,,41,16,
364,Anthony Denham,HOU,23,,4,0,,,,,,,,,,,,2,0,
365,Alfonzo Dennard,NWE,25,,6,4,1,0,0,0,1,0,0,1,0,0,,13,2,
366,Darqueze Dennard,CIN,23,,14,0,0,0,0,0,1,1,0,0,0,0,1.0,16,3,
367,John Denney,MIA,36,,16,0,,,,,,0,0,1,0,0,,2,0,
368,Akeem Dent,HOU,27,rilb,15,7,,,,,,,,,,,1.0,25,13,
369,Zak DeOssie,NYG,30,,16,0,,,,,,0,1,0,-25,0,,5,3,
370,Andrew DePaola,TAM,27,,16,0,,,,,,,,,,,,3,1,
371,Pierre Desir,CLE,24,,5,1,0,0,0,0,2,,,,,,,9,0,
372,James Develin,NWE,26,,16,4,,,,,,0,1,1,0,0,,,,
373,Jordan Devey,NWE,26,,7,4,,,,,,,,,,,,1,0,
374,Mike DeVito,KAN,30,,1,1,0,0,0,0,1,,,,,,,0,1,
375,Quinton Dial,SFO,24,nt,14,6,0,0,0,0,1,,,,,,2.0,21,9,
376,Ed Dickson,CAR,27,TE,16,10,,,,,,0,1,1,0,0,,1,0,
377,Evan Dietrich-Smith,TAM,28,C,15,15,,,,,,0,2,0,-14,0,,2,0,
378,Zach Diles,2TM,29,,5,0,,,,,,,,,,,,3,0,
379,Jayson DiManche,CIN,24,,12,1,,,,,,1,0,0,0,0,,7,4,
380,Patrick DiMarco,ATL,25,rb,16,7,,,,,,0,0,1,0,0,,3,1,
381,Ahmad Dixon,3TM,23,,11,0,,,,,,0,0,1,0,0,,2,1,
382,Anthony Dixon,BUF,27,,16,0,,,,,,0,1,1,0,0,,1,3,
383,Brandon Dixon,TAM,24,,14,0,1,0,0,0,2,,,,,,,8,1,
384,Brian Dixon,NOR,24,,16,0,0,0,0,0,1,1,0,0,0,0,,15,3,
385,Demarcus Dobbs,2TM,27,,10,0,,,,,,,,,,,,13,6,
386,James Dockery,CAR,26,,7,0,,,,,,,,,,,,11,0,
387,Aaron Donald*,STL,23,LT,16,12,0,0,0,0,1,2,0,0,0,0,9.0,37,10,
388,Larry Donnell,NYG,26,TE,16,12,,,,,,0,4,0,0,0,,1,0,
389,Jon Dorenbos*,PHI,34,,16,0,,,,,,,,,,,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
390,Kevin Dorsey,GNB,24,,3,0,,,,,,,,,,,,1,1,
391,Demar Dotson,TAM,29,,16,16,,,,,,0,0,1,0,0,,1,0,
392,Leger Douzable,NYJ,28,,16,0,,,,,,,,,,,2.5,14,11,
393,Jonathan Dowling,OAK,,,7,0,,,,,,,,,,,,4,0,
394,Ras-I Dowling,OAK,26,,3,0,,,,,,,,,,,,1,0,
395,Jack Doyle,IND,24,,16,1,,,,,,,,,,,,1,2,
396,Shaun Draughn,2TM,27,,8,0,,,,,,,,,,,,0,1,
397,Jim Dray,CLE,28,TE,16,8,,,,,,,,,,,,0,1,
398,Justin Drescher,NOR,26,,16,0,,,,,,,,,,,,1,0,
399,Greg Ducre,2TM,22,,6,0,1,7,0,7,1,,,,,,,2,0,
400,Elvis Dumervil*+,BAL,30,,16,2,0,0,0,0,1,2,0,1,0,0,17.0,29,10,
401,Jo-Lonn Dunbar,STL,29,LDT,16,10,,,,,,,,,,,,29,7,
402,Lance Dunbar,DAL,24,,16,0,,,,,,,,,,,,2,0,
403,Carlos Dunlap,CIN,25,LDE,16,16,0,0,0,0,4,2,0,1,0,0,8.0,41,27,
404,Brandon Dunn,CHI,22,,3,0,0,0,0,0,1,,,,,,,1,0,
405,Justin Durant,DAL,29,rlb,6,6,1,1,0,1,4,2,0,1,0,0,,31,18,
406,Kony Ealy,CAR,23,,15,0,,,,,,1,0,0,0,0,4.0,9,7,
407,Dominique Easley,NWE,22,,11,2,1,0,0,0,1,,,,,,1.0,6,3,
408,Marcus Easley,BUF,27,,10,0,,,,,,,,,,,,9,2,
409,Nate Ebner,NWE,26,,12,0,,,,,,,,,,,,7,3,
410,A.J. Edds,2TM,27,,6,0,,,,,,,,,,,,1,0,
411,Kasim Edebali,NOR,25,,16,0,,,,,,1,0,0,0,0,2.0,15,7,
412,Julian Edelman,NWE,28,WR,14,13,,,,,,0,5,3,0,0,,5,0,
413,Dwan Edwards,CAR,33,,16,0,1,24,0,24,2,,,,,,4.0,27,16,
414,Lavar Edwards,DAL,24,,4,0,,,,,,,,,,,,1,0,
415,Matt Elam,BAL,23,SS,16,11,0,0,0,0,5,1,0,0,0,0,0.5,33,19,
416,Dannell Ellerbe,MIA,29,,1,1,,,,,,,,,,,,2,0,
417,Andre Ellington,ARI,25,RB,12,12,,,,,,0,2,0,0,0,,1,0,
418,Bruce Ellington,SFO,23,,13,0,,,,,,0,1,1,0,0,,1,0,
419,Jayrone Elliott,GNB,23,,13,0,,,,,,,,,,,,17,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
420,Justin Ellis,OAK,24,LDT,16,14,0,0,0,0,1,,,,,,,16,5,
421,Kenrick Ellis,NYJ,27,,14,0,,,,,,,,,,,1.0,4,8,
422,Rhett Ellison,MIN,26,TE,16,13,,,,,,,,,,,,3,0,
423,IK Enemkpali,NYJ,23,,6,0,0,0,0,0,2,,,,,,,2,1,
424,Larry English,TAM,28,,12,1,,,,,,1,0,0,0,0,1.0,7,5,
425,Zach Ertz,PHI,24,te,16,5,,,,,,0,1,1,9,0,,2,1,
426,Gavin Escobar,DAL,23,,16,1,,,,,,,,,,,,1,1,
427,Jahri Evans*,NOR,31,RG,16,16,,,,,,0,0,1,0,0,,,,
428,Josh Evans,JAX,23,FS,16,14,0,0,0,0,2,0,0,2,-2,0,,62,28,
429,Mike Evans,TAM,21,WR,15,15,,,,,,,,,,,,4,0,
430,Antone Exum,MIN,23,,15,0,,,,,,0,0,1,0,0,,4,2,
431,Nick Fairley,DET,26,LDT,8,8,,,,,,1,0,0,0,0,1.0,8,6,
432,Anthony Fasano,KAN,30,TE,15,13,,,,,,,,,,,,1,0,
433,Terrence Fede,MIA,23,,11,0,,,,,,,,,,,1.0,8,2,1
434,Daniel Fells,NYG,31,TE,16,9,,,,,,0,1,0,0,0,,1,1,
435,Darren Fells,ARI,28,te,10,5,,,,,,,,,,,,1,0,
436,Jerome Felton,MIN,28,,16,3,,,,,,0,0,1,0,1,,,,
437,Chandler Fenner,NYG,24,,11,0,,,,,,,,,,,,5,2,
438,Ego Ferguson,CHI,23,,16,0,0,0,0,0,3,,,,,,2.0,12,12,
439,C.J. Fiedorowicz,HOU,23,TE,15,8,,,,,,,,,,,,1,0,
440,Brandon Fields,MIA,30,,16,0,,,,,,,,,,,,1,0,
441,Bojay Filimoeatu,OAK,25,,8,0,,,,,,,,,,,,6,2,
442,Cortland Finnegan,MIA,30,RCB,12,12,0,0,0,0,9,1,0,1,50,1,,33,11,
443,Eric Fisher,KAN,23,LT,16,16,,,,,,,,,,,,1,0,
444,Larry Fitzgerald,ARI,31,WR,14,13,,,,,,0,1,0,0,0,,1,0,
445,Ryan Fitzpatrick,HOU,32,QB,12,12,,,,,,0,5,4,-2,0,,,,
446,Joe Flacco,BAL,29,QB,16,16,,,,,,0,6,3,-5,0,,1,0,
447,Coby Fleener,IND,26,TE,16,12,,,,,,,,,,,,3,1,
448,Darius Fleming,NWE,25,,5,0,,,,,,0,0,1,0,0,,3,5,
449,Jamell Fleming,KAN,25,,7,4,0,0,0,0,3,,,,,,,25,2,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
450,Bradley Fletcher,PHI,28,LCB,15,15,1,34,1,34,22,1,0,1,0,0,,53,7,
451,Dane Fletcher,TAM,28,,16,4,0,0,0,0,1,,,,,,0.5,28,13,
452,Brandon Flowers,SDG,28,LCB,14,14,3,44,0,27,10,0,1,0,0,0,,48,4,
453,Marquis Flowers,CIN,22,,16,1,0,0,0,0,1,,,,,,,7,6,
454,Malcom Floyd,SDG,33,WR,16,16,,,,,,,,,,,,1,0,
455,Michael Floyd,ARI,25,WR,16,14,,,,,,0,4,2,0,0,,1,0,
456,Sharrif Floyd,MIN,22,LDT,14,11,0,0,0,0,1,,,,,,4.5,29,13,
457,Andre Fluellen,DET,29,,8,0,,,,,,0,0,1,0,0,2.0,9,1,
458,D.J. Fluker,SDG,23,RT,16,16,,,,,,,,,,,,1,0,
459,Matt Flynn,GNB,29,,7,0,,,,,,0,1,0,0,0,,1,0,
460,Moise Fokou,NOR,29,,2,0,,,,,,,,,,,,1,1,
461,Nick Foles,PHI,25,QB,8,8,,,,,,0,4,1,0,0,,1,0,
462,Larry Foote,ARI,34,LILB,15,15,1,0,0,0,4,0,0,1,0,0,2.0,64,24,
463,Dee Ford,KAN,23,,16,0,0,0,0,0,1,,,,,,1.5,3,4,
464,Justin Forsett*,BAL,29,RB,16,14,,,,,,0,2,1,0,0,,2,0,
465,Matt Forte,CHI,29,RB,16,16,,,,,,0,2,0,0,0,,3,0,
466,Khairi Fortt,3TM,22,,3,0,,,,,,,,,,,,1,0,
467,Arian Foster*,HOU,28,RB,13,13,,,,,,0,2,0,0,0,,1,0,
468,Glenn Foster,NOR,24,,5,0,,,,,,,,,,,,1,0,
469,Mason Foster,TAM,25,MLB,10,10,0,0,0,0,3,,,,,,,40,22,
470,Ramon Foster,PIT,28,LG,14,14,,,,,,,,,,,,1,0,
471,Jason Fox,MIA,26,,9,2,,,,,,,,,,,,1,0,
472,Jerry Franklin,2TM,26,,11,0,,,,,,,,,,,,4,0,
473,Dominique Franks,BAL,27,,4,1,0,0,0,0,5,,,,,,,12,1,
474,Terrence Frederick,NOR,24,,3,3,,,,,,,,,,,,14,2,
475,Travis Frederick*,DAL,23,C,16,16,,,,,,,,,,,,3,0,
476,Devonta Freeman,ATL,22,,16,0,,,,,,0,1,0,0,0,,3,1,
477,Jerrell Freeman,IND,28,LLB,12,12,0,0,0,0,6,2,0,1,0,0,1.5,73,53,
478,Dwight Freeney,SDG,34,LOLB,16,9,0,0,0,0,1,0,0,1,0,0,3.5,7,4,
479,Jonathan Freeny,MIA,25,,12,0,,,,,,,,,,,1.0,11,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
480,Isaiah Frey,2TM,24,,11,1,0,0,0,0,1,2,0,1,0,0,,13,13,
481,Sione Fua,CLE,26,,11,0,,,,,,,,,,,,6,6,
482,Corey Fuller,DET,24,,16,2,,,,,,0,1,0,0,0,,1,0,
483,Kyle Fuller,CHI,22,RCB,16,14,4,81,0,31,10,3,0,0,0,0,,50,14,
484,Andrew Gachkar,SDG,26,lilb,15,5,0,0,0,0,1,0,0,1,13,1,1.0,38,11,
485,Thomas Gafford,KAN,31,,16,0,,,,,,,,,,,,1,0,
486,E.J. Gaines,STL,,LCB,15,15,2,0,0,0,15,0,0,1,0,0,,63,7,
487,Phillip Gaines,KAN,23,lcb,13,5,0,0,0,0,4,,,,,,,20,0,
488,Junior Galette,NOR,26,LOLB,16,13,0,0,0,0,2,3,0,0,0,0,10.0,33,12,2
489,Graham Gano,CAR,27,,16,0,,,,,,0,0,1,0,0,,1,0,
490,Pierre Garcon,WAS,28,WR,16,14,,,,,,0,0,1,0,0,,1,0,
491,Andrew Gardner,PHI,28,RG,16,8,,,,,,0,0,1,0,0,,2,0,
492,Terence Garvin,PIT,24,,16,0,,,,,,,,,,,,10,6,
493,Roberto Garza,CHI,35,C,12,12,,,,,,,,,,,,1,0,
494,Antonio Gates,SDG,34,TE,16,14,,,,,,0,1,1,0,0,,,,
495,Jordan Gay,BUF,24,,16,0,,,,,,,,,,,,2,1,
496,William Gay,PIT,29,LCB,16,13,3,113,3,52,13,,,,,,,60,11,
497,Clifton Geathers,2TM,27,,9,0,,,,,,,,,,,,4,1,
498,Robert Geathers,CIN,31,,16,0,1,2,0,2,3,,,,,,1.0,10,11,
499,Jeremiah George,JAX,22,,6,0,,,,,,,,,,,,4,2,
500,Toby Gerhart,JAX,27,rb,14,7,,,,,,0,1,1,0,0,,5,0,
501,Brandon Ghee,TEN,27,,6,1,1,0,0,0,1,,,,,,,4,0,
502,William Gholston,TAM,23,LDE,15,9,0,0,0,0,3,,,,,,2.0,27,14,
503,Brandon Gibson,MIA,27,wr,14,5,,,,,,0,2,0,0,0,,1,0,
504,Wallace Gilberry,CIN,30,RDE,16,16,0,0,0,0,3,0,0,1,0,0,1.5,19,31,
505,Justin Gilbert,CLE,23,,14,2,1,23,1,23,8,,,,,,,25,4,
506,Marcus Gilbert,PIT,26,RT,12,12,,,,,,0,0,1,0,0,,1,0,
507,Marcus Gilchrist,SDG,26,SS,16,16,1,4,0,4,5,2,0,0,0,0,1.0,59,17,
508,Crockett Gillmore,BAL,23,,15,1,,,,,,,,,,,,1,0,
509,Stephon Gilmore,BUF,24,RCB,14,14,3,61,0,27,6,1,0,0,0,0,,38,8,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
510,Ted Ginn,ARI,29,,16,0,,,,,,0,3,1,0,0,,1,0,
511,Tashaun Gipson*,CLE,24,FS,11,11,6,158,1,62,8,1,0,0,0,0,,28,24,
512,Chris Givens,STL,25,,14,0,,,,,,,,,,,,1,0,
513,Adarius Glanton,CAR,24,,10,2,,,,,,1,0,0,0,0,,8,5,
514,Cordy Glenn,BUF,25,LT,16,16,,,,,,,,,,,,1,0,
515,Mike Glennon,TAM,25,qb,6,5,,,,,,0,2,3,-8,0,,2,0,
516,Charles Godfrey,2TM,29,,12,1,,,,,,,,,,,,14,5,
517,Robert Golden,PIT,24,,16,0,,,,,,0,0,1,0,1,,6,4,
518,Dashon Goldson,TAM,30,FS,14,14,0,0,0,0,1,0,0,1,2,0,,63,18,
519,Kedric Golston,WAS,31,,11,0,,,,,,,,,,,,7,0,
520,Zaviar Gooden,TEN,24,,15,2,,,,,,,,,,,,17,7,
521,Malliciah Goodman,ATL,24,LDE,16,10,,,,,,2,0,0,0,0,,6,11,
522,Demetri Goodson,GNB,25,,6,0,,,,,,,,,,,,5,1,
523,Marquise Goodwin,BUF,24,,10,0,,,,,,0,1,0,0,0,,1,0,
524,Josh Gordon,CLE,23,wr,5,5,,,,,,0,0,1,0,0,,2,0,
525,Josh Gordy,IND,27,,16,1,1,0,0,0,4,0,0,1,0,0,,19,5,
526,Danny Gorrer,2TM,28,,10,0,1,15,0,15,3,,,,,,,21,3,
527,Stephen Gostkowski*,NWE,30,,16,0,,,,,,,,,,,,1,0,
528,Brandon Graham,PHI,26,,16,1,,,,,,4,0,0,0,0,5.5,35,11,
529,Corey Graham,BUF,29,LCB,16,9,2,75,0,45,15,0,0,1,0,0,,65,19,
530,Garrett Graham,HOU,28,TE,11,9,,,,,,,,,,,,1,0,
531,Jimmy Graham*,NOR,28,TE,16,13,,,,,,1,2,0,0,0,,1,0,
532,T.J. Graham,NYJ,25,,12,0,,,,,,0,0,3,0,0,,8,3,
533,Ryan Grant,WAS,24,,16,2,,,,,,,,,,,,1,0,
534,Dwayne Gratz,JAX,24,RCB,15,13,1,55,1,55,9,2,0,0,0,0,,39,16,
535,Cyrus Gray,KAN,25,,9,0,,,,,,,,,,,,3,1,
536,Jonas Gray,NWE,24,,8,3,,,,,,,,,,,,1,0,
537,MarQueis Gray,2TM,25,,13,5,,,,,,,,,,,,2,0,
538,John Greco,CLE,29,RG,16,16,,,,,,,,,,,,1,1,
539,A.J. Green*,CIN,26,WR,13,13,,,,,,0,3,0,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
